小区名称,均价,在售套数,所在区,所在街道
龙王公寓,17034,3,临平区,临平新城
史家埭路小区,17017,6,临平区,临平新城
思惠家园,16999,2,临平区,临平新城
兰惠家园,16990,39,临平区,临平新城
汀洲花苑北,16931,23,临平区,东湖
都市知音,16925,22,临平区,东湖
锦良嘉苑一区,16920,19,临平区,临平新城
东港花苑,16908,116,临平区,东湖
华枫名苑,16905,15,临平区,东湖
杭辰星万里,16902,107,临平区,塘栖
康家公寓,16890,9,临平区,临平新城
南苑二区(余杭),16887,14,临平区,临平新城
广厦天都城天泉苑,16880,55,临平区,星桥
汤家锦绣公寓二期,16879,16,临平区,星桥
华艺星座,16867,23,临平区,星桥
乾南嘉苑四区,16854,3,临平区,东湖
超峰小区,16851,2,临平区,东湖
荷裕庭,16820,6,临平区,东湖
锦良嘉苑四区,16808,4,临平区,临平新城
经纬玲珑家园,16805,16,临平区,东湖
爱民路,16797,23,临平区,临平新城
府景公寓,16787,3,临平区,临平新城
复兴弄,16784,4,临平区,临平新城
清沁花苑,16775,11,临平区,临平新城
沿山路138号,16728,5,临平区,临平新城
星雅嘉园逸景苑,16722,22,临平区,星桥
新曙光公寓,16712,7,临平区,临平新城
陆家桥新苑,16670,20,临平区,崇贤
水韵四维苑南区,16668,10,临平区,运河新城
美术地毯厂,16609,3,临平区,临平新城
迎东泽第家苑,16609,0,临平区,临平新城
嘉丰万悦城北区,16601,39,临平区,东湖
惠都家园,16600,80,临平区,星桥
莲花公寓,16597,10,临平区,崇贤
悦泽公寓,16517,19,临平区,星桥
丝织弄59号,16493,6,临平区,临平新城
联胜新府,16470,1,临平区,临平新城
新月花园,16470,14,临平区,东湖
合丰花苑,16461,10,临平区,东湖
北秀向阳苑北区,16450,2,临平区,崇贤
碧云阁,16433,25,临平区,临平新城
城佳公寓,16408,3,临平区,临平新城
世纪嘉园,16383,40,临平区,临平新城
苑中园,16380,9,临平区,临平新城
四维公寓,16369,1,临平区,临平新城
北秀向阳苑南区,16346,12,临平区,崇贤
美人堂弄,16297,3,临平区,临平新城
旭润和府,16292,103,临平区,崇贤
佳肴弄,16280,15,临平区,临平新城
邱山大街92号,16265,3,临平区,临平新城
油车弄,16260,0,临平区,临平新城
中山路12-2号,16208,1,临平区,临平新城
紫晶时代,16185,7,临平区,乔司
紫兰花苑,16160,8,临平区,临平新城
金盛花苑,16141,6,临平区,临平新城
荷花小区,16139,61,临平区,东湖
朝阳西路17号,16111,1,临平区,临平新城
藕花苑,16103,7,临平区,临平新城
朝阳西路小区,16056,9,临平区,临平新城
梅堰小区,16050,92,临平区,临平新城
星润大厦,16031,41,临平区,星桥
良熟新苑,16021,34,临平区,临平新城
碧荷街,16016,1,临平区,东湖
水乡名苑,15995,3,临平区,塘栖
悦恺公寓,15992,0,临平区,星桥
木桥浜路23-295号,15965,14,临平区,临平新城
红联九漾华庭?东区,15919,35,临平区,临平新城
野风启明苑,15916,41,临平区,塘栖
恒达苑,15887,1,临平区,临平新城
东湖中路92号,15887,2,临平区,临平新城
北秀向阳苑西区,15870,24,临平区,崇贤
香山人家小区,15859,5,临平区,临平新城
伊世纪城市花园,15853,33,临平区,东湖
清水弄,15847,3,临平区,临平新城
东方俊园,15825,60,临平区,临平新城
临罗荷悦府,15810,4,临平区,东湖
大众弄,15795,7,临平区,临平新城
南苑一区,15777,18,临平区,临平新城
天府家园,15763,8,临平区,塘栖
广厦天都城天月苑,15750,28,临平区,星桥
金世纪运河丽园,15746,50,临平区,临平运河
黄鹤山居,15713,47,临平区,星桥
桐鹤名苑二区,15711,8,临平区,星桥
伊世纪城市花园一区,15698,10,临平区,临平新城
文园公寓,15680,1,临平区,临平新城
石坝新苑北区,15657,4,临平区,东湖
翁梅新苑三区,15606,6,临平区,乔司
金箭公寓,15579,7,临平区,临平新城
星雅嘉园逸品苑,15576,25,临平区,星桥
东安景苑,15535,35,临平区,临平新城
百姓弄小区,15513,12,临平区,临平新城
金世纪红枫苑,15503,31,临平区,东湖
临东家园,15498,28,临平区,东湖
星火小区,15473,10,临平区,临平新城
丁山郡府,15470,25,临平区,临平新城
湖岸枫林雅庭,15437,1,临平区,东湖
顺达花苑西区,15429,28,临平区,东湖
临和家苑北区,15359,8,临平区,东湖
朝阳新苑,15358,10,临平区,临平新城
东湖公寓,15347,14,临平区,临平新城
北庙北弄,15309,13,临平区,临平新城
太平家园,15301,26,临平区,星桥
环桥花苑,15289,7,临平区,东湖
汀洲花苑南,15273,2,临平区,东湖
五洋东湖春天,15262,24,临平区,东湖
水乡华庭,15254,20,临平区,塘栖
新大地,15240,10,临平区,临平新城
众孚水榭花都,15233,28,临平区,塘栖
结网嘉苑西区,15198,8,临平区,东湖
铁铺埭家苑二区,15185,0,临平区,星桥
桐鹤名苑一区,15175,13,临平区,星桥
西小河街332号,15173,0,临平区,塘栖
顺达花苑东区,15148,46,临平区,东湖
绿苑公寓,15143,1,临平区,临平新城
朝阳西路127号,15127,1,临平区,临平新城
北苑新村,15111,4,临平区,临平新城
邱山大街114-755号,15089,31,临平区,临平新城
环桥花苑二期,15068,18,临平区,东湖
合丰花苑北区,15048,2,临平区,东湖
运河玲珑香榭,15038,33,临平区,东湖
保健路138-170号,15033,1,临平区,临平新城
树兰书香名邸,15013,34,临平区,东湖
水车河弄,15011,9,临平区,临平新城
人民路1号,15008,0,临平区,塘栖
乾南嘉苑二区,14992,3,临平区,东湖
汤家锦绣公寓三区,14969,12,临平区,星桥
邱山公寓,14948,4,临平区,临平新城
文明小区,14946,2,临平区,临平新城
顺昌花园,14919,18,临平区,临平新城
南大街,14918,2,临平区,临平新城
天都花园,14912,27,临平区,临平新城
肖家弄,14912,18,临平区,临平新城
华都大楼,14912,1,临平区,临平新城
华宇家园,14907,24,临平区,东湖
后横弄,14899,4,临平区,临平新城
星育佳园,14893,6,临平区,临平新城
北大街,14867,6,临平区,临平新城
九曲营小区,14854,24,临平区,临平新城
朝阳西路131号,14847,1,临平区,临平新城
龙王塘路81号,14839,1,临平区,临平新城
星都家园,14826,2,临平区,临平新城
月光苑,14820,3,临平区,临平新城
临和家苑南区,14788,4,临平区,东湖
广厦天都城天湖苑,14771,35,临平区,星桥
广都嘉园,14766,4,临平区,临平新城
广厦天都城天风苑,14726,65,临平区,星桥
高速住宅,14703,5,临平区,临平新城
都市港湾,14666,53,临平区,东湖
景山路15号,14662,3,临平区,临平新城
万陈花苑,14658,14,临平区,东湖
龙王塘路90号,14645,2,临平区,临平新城
交通宿舍,14641,4,临平区,临平新城
中临弄,14599,0,临平区,临平新城
临城花苑,14596,40,临平区,东湖
运潭公寓,14517,11,临平区,东湖
塘栖栖里东苑,14510,11,临平区,塘栖
新丰小区,14493,12,临平区,临平新城
朝阳西路32号,14480,0,临平区,临平新城
兴旺公寓,14359,1,临平区,东湖
酒厂宿舍,14358,1,临平区,临平新城
缸甏弄,14349,7,临平区,临平新城
铁流公寓,14344,1,临平区,临平新城
广宇公寓,14329,3,临平区,塘栖
菜市路,14322,2,临平区,临平新城
棉百弄,14306,4,临平区,临平新城
结网嘉苑东区,14297,0,临平区,东湖
北大街228号,14228,5,临平区,临平新城
水岸名筑,14214,4,临平区,塘栖
新苑小区,14199,11,临平区,塘栖
大都尚澜,14179,20,临平区,临平运河
仓桥路,14165,7,临平区,塘栖
迎宾北区,14138,2,临平区,临平新城
圣塘河新村二区,14056,9,临平区,临平运河
中都广场,14003,6,临平区,临平新城
星火南路25号,14002,1,临平区,临平新城
逸仙路,13993,2,临平区,临平新城
石坝新苑南区,13990,7,临平区,东湖
丰梅路10-21号,13983,3,临平区,临平新城
保健路,13970,2,临平区,临平新城
运旺佳苑,13908,4,临平区,临平运河
枉山嘉苑一区,13878,2,临平区,星桥
力达易居时代,13842,22,临平区,东湖
运动新村,13788,5,临平区,塘栖
环岛公寓,13787,6,临平区,临平新城
沿山路198号,13759,0,临平区,临平新城
景丽华庭,13744,26,临平区,塘栖
香雪园,13743,3,临平区,塘栖
华惠家园,13720,22,临平区,东湖
东湖中路30号,13687,1,临平区,临平新城
碧佳公寓,13627,1,临平区,临平新城
锦绣名邸南区,13543,10,临平区,塘栖
东湖中路175号,13536,4,临平区,临平新城
乾南嘉苑,13516,5,临平区,东湖
桐鹤名苑三区,13512,10,临平区,星桥
将军殿弄,13502,10,临平区,临平新城
塘栖一小区,13502,78,临平区,塘栖
锦绣名邸,13499,30,临平区,塘栖
光大弄,13439,0,临平区,临平新城
春满小筑,13374,7,临平区,塘栖
西苑小区,13291,7,临平区,塘栖
风清苑,13177,2,临平区,临平新城
曙光嘉园,13177,8,临平区,东湖
东小河公寓,13165,30,临平区,塘栖
朝阳西路79号,13164,1,临平区,临平新城
水岸锦城,13138,23,临平区,塘栖
王家堰40号,13026,2,临平区,星桥
北大街249号,13006,1,临平区,临平新城
朝阳西路70号,13002,2,临平区,临平新城
崇贤商业中心,12942,5,临平区,崇贤
诚明诚品,12910,1,临平区,塘栖
月欣花苑,12909,1,临平区,东湖
九曲营路,12820,4,临平区,临平新城
塘栖嘉园,12806,19,临平区,塘栖
广济公寓,12764,11,临平区,塘栖
水乡人家,12717,7,临平区,塘栖
康宁和府,12660,18,临平区,塘栖
佳丽苑,12649,6,临平区,塘栖
湖潭路,12603,6,临平区,东湖
乐苑小区,12500,48,临平区,塘栖
育人嘉园,12486,4,临平区,塘栖
广济西路,12416,3,临平区,塘栖
乾南嘉苑三区,12322,0,临平区,东湖
西小河小区,12295,41,临平区,塘栖
藕花洲大街西段623号,12291,8,临平区,星桥
北大街231号,12283,1,临平区,临平新城
塘南茗苑,12226,14,临平区,塘栖
华励宿舍,12219,0,临平区,临平新城
康庭和苑,12161,38,临平区,塘栖
永益公寓,12062,1,临平区,乔司
钱江国际广场,11866,64,临平区,塘栖
东石塘,11854,4,临平区,塘栖
龙王塘路,11807,0,临平区,临平新城
区检察院宿舍,11689,1,临平区,临平新城
里仁路1号,11686,1,临平区,塘栖
啤酒城宿舍,11291,0,临平区,临平新城
枉山嘉苑二区,11050,0,临平区,星桥
木鸭埭,11001,4,临平区,塘栖
中都写字楼,10902,3,临平区,临平新城
万盛商贸城公寓,10180,6,临平区,塘栖
皮匠弄,8486,1,临平区,塘栖
望梅路588号,8428,24,临平区,东湖
德雅金座,7736,3,临平区,东湖
沿山路2-5号,暂无数据,0,临平区,临平新城
心怡苑,暂无数据,0,临平区,临平新城
河南埭路4-1,暂无数据,0,临平区,临平新城
朝阳东路73号,暂无数据,0,临平区,临平新城
朝阳西路15号,暂无数据,0,临平区,临平新城
富邦星座,暂无数据,21,临平区,临平新城
通和波士顿公寓,暂无数据,1,临平区,星桥
美莱国际中心写字楼,暂无数据,33,临平区,临平新城
东湖北路257号,暂无数据,0,临平区,东湖
九洲大厦,暂无数据,0,临平区,临平新城
鼎盛大厦,暂无数据,0,临平区,临平新城
西大街1号,暂无数据,0,临平区,临平新城
四维金座,暂无数据,12,临平区,崇贤
东大街公司宿舍,暂无数据,0,临平区,临平新城
远顺大厦,暂无数据,6,临平区,塘栖
江南五金装饰广场,暂无数据,0,临平区,东湖
理想国际大厦,暂无数据,0,临平区,临平新城
麦道大厦,暂无数据,0,临平区,临平新城
东湖北路227,暂无数据,0,临平区,东湖
星火南路1号,暂无数据,0,临平区,临平新城
兴耀锦里,暂无数据,0,临平区,星桥
朝阳东路75号,暂无数据,0,临平区,临平新城
临平西子国际,暂无数据,5,临平区,临平新城
远景城市e谷,暂无数据,17,临平区,塘栖
胜稼公寓,暂无数据,0,临平区,工业园北
朝阳东路75号,暂无数据,0,临平区,临平新城
开发局宿舍,暂无数据,0,临平区,临平新城
武林小区,暂无数据,0,临平区,临平新城
理想世纪金座,暂无数据,3,临平区,临平新城
赞成世纪,暂无数据,0,临平区,临平新城
星河嘉园,暂无数据,0,临平区,东湖
万华in工坊,暂无数据,0,临平区,塘栖
永顺嘉园,暂无数据,0,临平区,乔司
人民大道473号,暂无数据,0,临平区,临平新城
华临山庄,暂无数据,0,临平区,临平新城
谛都科技城,暂无数据,0,临平区,东湖
临平西子国际,暂无数据,5,临平区,临平新城
星火南路1号,暂无数据,0,临平区,临平新城
兴耀锦里,暂无数据,0,临平区,星桥
中梁顺悦庭,暂无数据,0,临平区,东湖
木桥浜路232号,暂无数据,0,临平区,临平新城
车站路,暂无数据,0,临平区,临平新城
华艺星座B区,暂无数据,0,临平区,星桥
复地·又一城,暂无数据,0,临平区,乔司
中山路12-3号,暂无数据,1,临平区,临平新城
中山路12-4号,暂无数据,0,临平区,临平新城
商校弄,暂无数据,0,临平区,临平新城
富邦星座,暂无数据,21,临平区,临平新城
朝阳西路15号,暂无数据,0,临平区,临平新城
通和波士顿公寓,暂无数据,1,临平区,星桥
朝阳东路73号,暂无数据,0,临平区,临平新城
河南埭路4-1,暂无数据,0,临平区,临平新城
心怡苑,暂无数据,0,临平区,临平新城
沿山路2-5号,暂无数据,0,临平区,临平新城
东湖北路227,暂无数据,0,临平区,东湖
麦道大厦,暂无数据,0,临平区,临平新城
兴耀锦里,暂无数据,0,临平区,星桥
美致生活广场,暂无数据,102,临平区,塘栖
八方杰座大厦,暂无数据,0,临平区,临平新城
浙商开元名都祺寓,暂无数据,22,临平区,临平新城
江南国际丝绸城,暂无数据,15,临平区,东湖
嘉凯城商业中心,暂无数据,0,临平区,塘栖
中山路12-3号,暂无数据,1,临平区,临平新城
南苑·发展大厦,暂无数据,0,临平区,临平新城
阳光天地商业街,暂无数据,0,临平区,东湖
张百步弄小区,暂无数据,0,临平区,塘栖
朝阳西路75号,暂无数据,0,临平区,临平新城
沿山路27号,暂无数据,0,临平区,临平新城
CBC时代大观,暂无数据,16,临平区,临平新城
万宝城,暂无数据,58,临平区,东湖
中顺新澜悦,暂无数据,17,临平区,临平新城
藕花洲大街427号-1号,暂无数据,0,临平区,临平新城
超峰西路2号,暂无数据,0,临平区,东湖
河南埭路,暂无数据,0,临平区,临平新城
五中大厦,暂无数据,0,临平区,东湖
龙皇塘路3号,暂无数据,0,临平区,临平新城
人民路168号,暂无数据,0,临平区,塘栖
新康家园,暂无数据,0,临平区,临平新城
农资住宅小区,暂无数据,0,临平区,临平新城
华临山庄,暂无数据,0,临平区,临平新城
四维金座,暂无数据,12,临平区,崇贤
鼎盛大厦,暂无数据,0,临平区,临平新城
西大街1号,暂无数据,0,临平区,临平新城
通和波士顿公寓,暂无数据,1,临平区,星桥
江南五金装饰广场,暂无数据,0,临平区,东湖
东湖中路2号,暂无数据,0,临平区,临平新城
万华1号,暂无数据,9,临平区,塘栖
江南家居装饰区,暂无数据,0,临平区,东湖
美亚大厦,暂无数据,0,临平区,临平新城
梅堰路9号,暂无数据,0,临平区,临平新城
迎宾路209-4号,暂无数据,0,临平区,临平新城
东湖中路227号,暂无数据,0,临平区,临平新城
永顺嘉园,暂无数据,0,临平区,乔司
万华in工坊,暂无数据,0,临平区,塘栖
新丰路集资房,暂无数据,0,临平区,临平新城
大园弄,暂无数据,0,临平区,临平新城
谛都科技城,暂无数据,0,临平区,东湖
赞成世纪,暂无数据,0,临平区,临平新城
塘栖西苑,暂无数据,0,临平区,塘栖
南苑·发展大厦,暂无数据,0,临平区,临平新城
商校弄,暂无数据,0,临平区,临平新城
沿山路31号,暂无数据,0,临平区,临平新城
德雅汇丰,暂无数据,0,临平区,东湖
东湖北路151号,暂无数据,0,临平区,东湖
中骏鼎湖未来云城,暂无数据,0,临平区,临平新城
新秀家园北区,暂无数据,0,临平区,临平新城
广济路,暂无数据,0,临平区,塘栖
木桥浜路269-1号,暂无数据,0,临平区,临平新城
星光外贸宿舍楼,暂无数据,0,临平区,东湖
八方杰座大厦,暂无数据,0,临平区,临平新城
浙商开元名都祺寓,暂无数据,22,临平区,临平新城
美致生活广场,暂无数据,102,临平区,塘栖
IFC,暂无数据,2,临平区,临平新城
高璟云庭,暂无数据,0,临平区,临平新城
合景泰富寰汇（石门街6号）,暂无数据,3,临平区,临平新城
藕花洲大街389号,暂无数据,0,临平区,临平新城
华景川湖沁宸园,暂无数据,0,临平区,临平运河
三角丰收湖嘉园六区,暂无数据,0,临平区,乔司
三角丰收湖嘉园五区,暂无数据,0,临平区,乔司
绿翠芳映轩,暂无数据,0,临平区,东湖
三角丰收湖嘉园四区,暂无数据,0,临平区,乔司
临之锦,暂无数据,0,临平区,临平新城
东风嘉苑二区,暂无数据,0,临平区,乔司
罗庄荷苑南区,暂无数据,0,临平区,东湖
银泰时代中心,暂无数据,0,临平区,临平新城
三角丰收湖嘉园一区,暂无数据,0,临平区,乔司
荷禹宸府,暂无数据,0,临平区,东湖
商会大厦(临平),暂无数据,0,临平区,临平新城
江山风华邻里中心,暂无数据,1,临平区,东湖
月语和风里,暂无数据,0,临平区,崇贤
政法街,暂无数据,0,临平区,临平新城
瑞鑫大厦,暂无数据,0,临平区,东湖
小区名称,均价,在售套数,所在区,所在街道
麒麟山庄,103580,3,临安区,临安
麒麟山庄D区,70376,2,临安区,临安
华特山庄,51759,4,临安区,临安
青山湖玫瑰园,51266,141,临安区,临安
绿城青山湖红枫园,40918,27,临安区,青山湖科技城
同人山庄,35177,42,临安区,临安
锦绣钱塘,34288,142,临安区,临安
绿野清风,33973,17,临安区,临安
绿城桃李春风,33383,275,临安区,临安
岛上锦源,32398,12,临安区,临安
郡原列岛花园,31972,10,临安区,临安
水岸风华,31245,12,临安区,临安
桃李湖滨,30054,235,临安区,临安
大华春山明月,27070,236,临安区,临安
森林湖山庄南区,26865,11,临安区,临安
青城山语间,26204,101,临安区,临安
易辰江南大院,25548,70,临安区,临安
状元府,24811,25,临安区,临安
玲珑天城,24623,10,临安区,临安
绿城曼陀花园,24051,35,临安区,临安
春风燕语,23609,107,临安区,临安
桃李望湖里,23553,5,临安区,临安
湖光山社,22004,180,临安区,临安
林泉流韵,21589,9,临安区,临安
苕溪公馆,21254,102,临安区,临安
西墅保锦苑,20949,1,临安区,临安
缦云府,20776,45,临安区,临安
通策状元府,19183,1,临安区,临安
春天华府(临天路),18764,101,临安区,临安
美的滨湖翠邸,18675,21,临安区,临安
雷威沁园,18521,15,临安区,临安
西之望府,18494,48,临安区,临安
湖山壹品苑,18492,166,临安区,临安
棠颂大院,18462,0,临安区,临安
湖语澜轩,18099,132,临安区,临安
万锦山庄,17978,3,临安区,临安
中天宸锦学府,17959,1,临安区,临安
世茂国风源赋,17949,1,临安区,临安
平山新村,17886,1,临安区,临安
中骏临栖云府,17723,46,临安区,临安
银城青山湖畔,17700,286,临安区,临安
临天路8弄47号,17522,0,临安区,临安
未来旭辉城,17487,76,临安区,青山湖科技城
华发峰荟荟天府,17417,64,临安区,临安
西径晓风苑,17370,149,临安区,临安
苕溪学府,17336,234,临安区,临安
盛景蔚澜名邸,17264,116,临安区,青山湖科技城
旭辉中粮朗香府,17253,277,临安区,青山湖科技城
百骊府,17242,1,临安区,临安
中天万科启宸,17234,170,临安区,临安
临水路144号,17060,0,临安区,临安
中天珺府东区,17027,140,临安区,青山湖科技城
北樾府,17010,252,临安区,临安
保亿丽云府,16924,4,临安区,青山湖科技城
水悦花园,16893,213,临安区,临安
融创金成璞樾大观,16853,92,临安区,临安
越秀归悦里,16732,92,临安区,临安
中天宸望,16656,25,临安区,临安
春天学府,16653,200,临安区,临安
越秀星悦城,16646,560,临安区,临安
保亿阳光城丽光城,16632,145,临安区,青山湖科技城
中天溪珺庭,16608,98,临安区,临安
竹韵小筑,16568,0,临安区,临安
溪悦十锦台公寓,16538,87,临安区,临安
湖山云台苑,16415,360,临安区,临安
观唐花园,16398,2,临安区,临安
星著柏悦府,16386,52,临安区,临安
荣盛檀越府,16238,98,临安区,青山湖科技城
蔚宸悦城,16232,304,临安区,青山湖科技城
雨润星雨华府,16093,39,临安区,临安
财富商厦,15995,26,临安区,临安
新港城,15970,20,临安区,临安
绿城玉兰花园,15935,170,临安区,临安
绿城钱王文化广场锦玉园,15833,26,临安区,临安
中天珺府,15743,530,临安区,临安
西墅街286号,15687,1,临安区,临安
中天大家宸澜学府,15676,70,临安区,临安
万马伊顿庄园,15646,39,临安区,临安
汇锦华庭北区,15597,8,临安区,临安
美丽湾,15516,55,临安区,临安
云珀府,15491,125,临安区,临安
临溪佳苑,15476,6,临安区,临安
金禾嘉园,15360,14,临安区,临安
佳源锦晟里,15355,63,临安区,临安
尚城国际,15258,7,临安区,临安
星悦金座,15235,10,临安区,临安
大家·锦悦栖溪轩,15201,14,临安区,临安
绿城·文西诚园,15196,118,临安区,临安
如意云庭,15188,108,临安区,临安
旭辉东原吴越府,15114,206,临安区,临安
中天雅境,15094,155,临安区,临安
保亿麓语湖苑,15079,201,临安区,青山湖科技城
田野风情,15066,1,临安区,临安
蓝城恒伟江南山庄,15046,56,临安区,临安
钱王财富中心,15046,22,临安区,临安
印象苕溪城,15002,242,临安区,临安
城镇依山郡,14886,7,临安区,临安
碧桂园中梁凤朝鸣庭,14813,31,临安区,临安
中骏骏澜湾,14681,132,临安区,临安
天屹公寓,14681,4,临安区,临安
绿城桃语春福里,14641,3,临安区,临安
柏源晶舍,14613,6,临安区,临安
云麓悦映邸,14607,0,临安区,临安
龙沁城,14459,276,临安区,临安
恒福嘉城,14396,161,临安区,青山湖科技城
长麓府,14344,100,临安区,临安
越秀悦映城,14320,300,临安区,临安
明月山庄,14309,2,临安区,临安
城中府,14303,50,临安区,临安
青山印象府,14271,147,临安区,青山湖科技城
马溪村,14220,0,临安区,临安
金色时代,14134,26,临安区,临安
越秀星汇花园,14072,885,临安区,青山湖科技城
春天,13873,56,临安区,临安
西墅绿洲,13861,35,临安区,临安
南樾府,13850,190,临安区,临安
国瑞中心,13832,96,临安区,临安
新民街6-8号,13832,2,临安区,临安
临水路66号,13713,0,临安区,临安
御城御园,13699,8,临安区,临安
金城华府,13696,13,临安区,临安
锦溪公寓,13678,1,临安区,临安
景杉路,13675,8,临安区,临安
临水路62-68号,13612,0,临安区,临安
绿城云杉郡,13541,165,临安区,青山湖科技城
锦溪优樾府,13537,56,临安区,临安
公园城,13481,43,临安区,临安
绿地亚洲公园,13453,137,临安区,临安
成龙官山邸,13434,49,临安区,临安
樱花府第西园,13339,19,临安区,临安
银城青山桂语,13333,0,临安区,临安
颐和山庄,13287,155,临安区,临安
宝龙融信新世邸,13284,122,临安区,临安
锦云澜天里,13235,125,临安区,临安
公园家南区,13147,40,临安区,临安
锁厂宿舍,13134,1,临安区,临安
永隆公寓,13107,2,临安区,临安
褐石公馆,13068,8,临安区,临安
锦贤府,13045,147,临安区,临安
江南名楼,12999,6,临安区,临安
竹林家园,12954,0,临安区,临安
望湖花园,12865,10,临安区,临安
美晟府,12818,36,临安区,临安
临水路16号,12774,1,临安区,临安
江桥路396号,12753,1,临安区,临安
云锦玖晟府,12751,208,临安区,临安
梦境家园,12703,7,临安区,青山湖科技城
翠竹苑,12692,0,临安区,临安
临天路九弄50号,12687,1,临安区,临安
青山鹤岭,12661,211,临安区,青山湖科技城
锦桥家园,12653,0,临安区,临安
玲珑郡,12642,64,临安区,临安
矿山机械厂宿舍,12612,0,临安区,临安
浅水湾庄园(吴越街),12606,15,临安区,临安
东投悦荣府,12602,27,临安区,临安
南岸风景,12589,11,临安区,临安
安阁弄110-112号,12511,0,临安区,临安
秀水山居,12506,0,临安区,临安
林水山居,12498,27,临安区,临安
荣上青云府,12479,139,临安区,临安
天工商厦,12466,2,临安区,临安
锦尚唐宁郡,12277,51,临安区,临安
大园新城南区,12229,106,临安区,青山湖科技城
大园新城,12227,90,临安区,青山湖科技城
汇锦华庭,12201,13,临安区,临安
城中街225号,12188,0,临安区,临安
马溪公寓,12113,1,临安区,临安
锦城新天地购物广场,12102,4,临安区,临安
天目观山月,12093,26,临安区,临安
佳源优优锦城,12045,95,临安区,临安
鸿盛家园,12009,7,临安区,临安
南洋名都,11969,28,临安区,临安
医药公司大楼,11965,0,临安区,临安
城南小学宿舍,11937,1,临安区,临安
钱锦花园,11927,76,临安区,临安
北苑丽城,11887,8,临安区,临安
临安大厦,11851,21,临安区,临安
畔湖路,11844,0,临安区,临安
粮食局宿舍,11819,0,临安区,临安
锦龙公寓,11756,1,临安区,临安
景杉路782号,11689,1,临安区,临安
西苑路二弄,11689,1,临安区,临安
六园街1号,11612,0,临安区,临安
恒福禹都,11591,34,临安区,临安
水泥厂宿舍,11586,4,临安区,临安
筑境花园,11538,127,临安区,临安
青溪美庐,11537,6,临安区,临安
星港9月,11522,13,临安区,临安
马溪东苑,11515,9,临安区,临安
御城熙园,11505,6,临安区,临安
葡萄园小区,11447,6,临安区,临安
竹林风华,11435,14,临安区,临安
明泰苑,11388,6,临安区,临安
石镜街175号,11378,0,临安区,临安
天松花苑,11365,5,临安区,临安
翠紫苑,11332,89,临安区,青山湖科技城
恒晟逸家,11301,4,临安区,临安
临水路106号,11287,1,临安区,临安
万马樱花公馆,11273,52,临安区,临安
滨湖天地,11249,0,临安区,临安
玲珑家苑,11232,0,临安区,临安
万华茗楼,11202,5,临安区,临安
中赢时代风景,11187,48,临安区,临安
钱景路47号,11166,1,临安区,临安
紫竹苑,11121,13,临安区,临安
广场花园,11097,40,临安区,临安
西雅园,11084,23,临安区,临安
太阳城花园,11067,41,临安区,临安
宏伟公寓,11056,7,临安区,临安
吴越山庄,11030,99,临安区,临安
钱王街288号,11027,1,临安区,临安
中天溪风雅韵,11008,1,临安区,临安
竹悦山水轩,10995,0,临安区,临安
樱花府第,10988,26,临安区,临安
怡庭园,10977,1,临安区,临安
远洋山水花园,10967,22,临安区,临安
天发公寓,10963,0,临安区,临安
西墅锦园,10944,9,临安区,临安
临天路369号,10925,1,临安区,临安
临天八弄49号,10909,1,临安区,临安
黄金水岸,10905,3,临安区,临安
枫林晓城,10903,9,临安区,临安
绿城天语山居,10875,13,临安区,临安
樱花雅苑北区,10866,13,临安区,临安
茶厂小区,10861,2,临安区,临安
御城涵园,10851,34,临安区,临安
香溢公寓,10840,0,临安区,临安
樱花雅苑南区,10836,11,临安区,临安
名都雅苑,10809,10,临安区,临安
锦春家园68号,10801,0,临安区,临安
锦竹苑,10798,2,临安区,临安
西墅花园,10790,8,临安区,临安
临天路八弄32号,10773,0,临安区,临安
锦绣兰庭(临安),10750,14,临安区,临安
临天路一弄30号,10723,1,临安区,临安
江南佳苑,10709,57,临安区,青山湖科技城
城中街268号,10598,2,临安区,临安
遇见清煦里,10591,60,临安区,临安
和煦锦庭,10566,14,临安区,临安
化工厂生活小区,10565,2,临安区,临安
怡情风景苑,10563,7,临安区,临安
遇见芳华里,10546,4,临安区,临安
天平驾校,10481,0,临安区,临安
九豪庄园,10473,11,临安区,临安
芳泽锦安里,10457,13,临安区,临安
顺达丁香苑,10409,11,临安区,临安
临东小区,10387,20,临安区,临安
南苑小区,10385,54,临安区,临安
畔湖路52-54号,10380,0,临安区,临安
锦南公寓,10354,3,临安区,临安
北润家园,10351,8,临安区,临安
越秀星汇中心,10338,17,临安区,青山湖科技城
天目路,10312,0,临安区,临安
蚕种场宿舍,10311,0,临安区,临安
衣锦街430号,10286,0,临安区,临安
恒晟云中绿园,10279,19,临安区,临安
临天八弄31号,10267,0,临安区,临安
凤凰府邸,10256,3,临安区,临安
滨江公寓,10252,10,临安区,临安
江桥路482号,10243,0,临安区,临安
锦江公寓,10218,15,临安区,临安
融悦天辰府,10197,17,临安区,临安
香樟名苑,10195,9,临安区,临安
春和景明院,10194,28,临安区,临安
城中街392号,10162,2,临安区,临安
天阳大厦,10141,9,临安区,临安
计量局宿舍,10139,2,临安区,临安
华兴楼,10125,2,临安区,临安
畔湖路101号,10119,1,临安区,临安
棋盘弄24号,10097,0,临安区,临安
锦天城市花园,10081,6,临安区,临安
绿岛花园南区,10068,10,临安区,临安
安阁弄116/118/120号,10057,1,临安区,临安
水岸阳光,10044,10,临安区,临安
